"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE","779","833",,,"0/11/15","15/15/15",,,"18","50",,,"500","1260",,,"Tackle, Power Whip, Seed Bomb","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE","825","850",,,"0/11/15","15/15/15",,,"18","50",,,"498","1260",,,"Tackle, Frustration, Power Whip","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE","135","296",,,"0/10/15","0/13/14",,,"11.5","38.5",,,"498","1493",,,"Razor Leaf, Power Whip, Sludge Bomb","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE","89","381",,,"0/10/15","0/13/14",,,"11.5","38.5",,,"497","1497",,,"Razor Leaf, Frustration, Power Whip","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE","155","95","92","262","3/15/14","0/14/11","1/15/14","15/15/15","7","21","39","50","497","1496","2499","3075","Razor Leaf, Frenzy Plant, Petal Blizzard","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE","100","114","82","267","3/15/14","0/14/11","1/15/14","15/15/15","7","21","39","50","497","1496","2499","3075","Razor Leaf, Frenzy Plant, Frustration","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","Vine Whip, Frenzy Plant, Sludge Bomb","1;2;3","3"
"4","Charmander (Shadow)","Charmander","TRUE","428",,,,"0/15/11",,,,"20.5",,,,"500",,,,"Ember, Flame Charge, Flamethrower",,,,"4;5;6","4;5;6"
"5","Charmeleon","Charmander","FALSE",,"775",,,,"0/13/15",,,,"40",,,,"1496",,,,"Ember, Fire Punch, Return",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE",,"706",,,,"0/13/15",,,,"40",,,,"1496",,,,"Ember, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"6","Charizard","Charmander","FALSE","350","401","228","176","6/15/14","0/15/13","0/13/15","15/15/15","6.5","19.5","35","50","496","1488","2497","3266","Fire Spin, Blast Burn, Dragon Claw","Fire Spin, Blast Burn, Dragon Claw","Dragon Breath, Blast Burn, Dragon Claw","Dragon Breath, Blast Burn, Dragon Claw","4;5;6","6"
